ticker,group,status,bucket,my_fv,ms_fv,ratio,date,note
TFII,universe,pending,,,,,,
HRL,universe,pending,,,,,,
MEDP,universe,pending,,,,,,
LULU,universe,pending,,,,,,
FUTU,universe,pending,,,,,,
APA,universe,pending,,,,,,
TOL,universe,pending,,,,,,
MKC.V,universe,pending,,,,,,
DINO,universe,pending,,,,,,
SOLS,universe,pending,,,,,,
TYL,universe,pending,,,,,,
GFL,universe,pending,,,,,,
KNX,universe,pending,,,,,,
FNF,universe,pending,,,,,,
AIZ,universe,pending,,,,,,
U,universe,pending,,,,,,
ENLT,universe,pending,,,,,,
MKC,universe,pending,,,,,,
HUT,universe,pending,,,,,,
TRMB,universe,pending,,,,,,
PEN,universe,pending,,,,,,
ONTO,universe,pending,,,,,,
ELS,universe,pending,,,,,,
PNW,universe,pending,,,,,,
SUN,universe,pending,,,,,,
NYT,universe,pending,,,,,,
SAIA,universe,pending,,,,,,
AUR,universe,pending,,,,,,
DKNG,universe,pending,,,,,,
ONON,universe,pending,,,,,,
GL,universe,pending,,,,,,
VICR,universe,pending,,,,,,
GGG,universe,pending,,,,,,
DVA,universe,pending,,,,,,
DRS,universe,pending,,,,,,
IONS,universe,pending,,,,,,
RNR,universe,pending,,,,,,
DT,universe,pending,,,,,,
CRBG,universe,pending,,,,,,
BF.A,universe,pending,,,,,,
SWK,universe,pending,,,,,,
BNT,universe,pending,,,,,,
MGM,universe,pending,,,,,,
IVZ,universe,pending,,,,,,
ALGN,universe,pending,,,,,,
BF.B,universe,pending,,,,,,
PINS,universe,pending,,,,,,
COKE,universe,pending,,,,,,
AXSM,universe,pending,,,,,,
HAS,universe,pending,,,,,,
WULF,universe,pending,,,,,,
ERIE,universe,pending,,,,,,
AVY,universe,pending,,,,,,
FMS,universe,pending,,,,,,
PNR,universe,pending,,,,,,
CNA,universe,pending,,,,,,
ELAN,universe,pending,,,,,,
AEIS,universe,pending,,,,,,
CACI,universe,pending,,,,,,
VIAV,universe,pending,,,,,,
WBS,universe,pending,,,,,,
AGNC,universe,pending,,,,,,
MOG.A,universe,pending,,,,,,
AIT,universe,pending,,,,,,
LFUS,universe,pending,,,,,,
HII,universe,pending,,,,,,
FIG,universe,pending,,,,,,
EQH,universe,pending,,,,,,
PL,universe,pending,,,,,,
FHN,universe,pending,,,,,,
SMMT,universe,pending,,,,,,
ICLR,universe,pending,,,,,,
QXO,universe,pending,,,,,,
SPXC,universe,pending,,,,,,
BJ,universe,pending,,,,,,
JEF,universe,pending,,,,,,
CLX,universe,pending,,,,,,
GWRE,universe,pending,,,,,,
BTSG,universe,pending,,,,,,
APLD,universe,pending,,,,,,
BLD,universe,pending,,,,,,
PAG,universe,pending,,,,,,
VIRT,universe,pending,,,,,,
MDGL,universe,pending,,,,,,
TXRH,universe,pending,,,,,,
ARW,universe,pending,,,,,,
ALLE,universe,pending,,,,,,
GDDY,universe,pending,,,,,,
CPT,universe,pending,,,,,,
BXP,universe,pending,,,,,,
SWKS,universe,pending,,,,,,
ZBRA,universe,pending,,,,,,
SJM,universe,pending,,,,,,
AR,universe,pending,,,,,,
AFG,universe,pending,,,,,,
IT,universe,pending,,,,,,
RVTY,universe,pending,,,,,,
KTOS,universe,pending,,,,,,
BMRN,universe,pending,,,,,,
UHAL,universe,pending,,,,,,
CR,universe,pending,,,,,,
HUBS,universe,pending,,,,,,
AAON,universe,pending,,,,,,
GMED,universe,pending,,,,,,
SF,universe,pending,,,,,,
WLK,universe,pending,,,,,,
WYNN,universe,pending,,,,,,
SEIC,universe,pending,,,,,,
LINE,universe,pending,,,,,,
GIL,universe,pending,,,,,,
EGP,universe,pending,,,,,,
FRT,universe,pending,,,,,,
PODD,universe,pending,,,,,,
WTRG,universe,pending,,,,,,
SFD,universe,pending,,,,,,
MP,universe,pending,,,,,,
FIVE,universe,pending,,,,,,
GSAT,universe,pending,,,,,,
WTS,universe,pending,,,,,,
AES,universe,pending,,,,,,
MICC,universe,pending,,,,,,
DPZ,universe,pending,,,,,,
CCK,universe,pending,,,,,,
POWL,universe,pending,,,,,,
VMI,universe,pending,,,,,,
SAIL,universe,pending,,,,,,
EHC,universe,pending,,,,,,
WTFC,universe,pending,,,,,,
ARWR,universe,pending,,,,,,
R,universe,pending,,,,,,
AM,universe,pending,,,,,,
HBM,universe,pending,,,,,,
FROG,universe,pending,,,,,,
MOG.B,universe,pending,,,,,,
CGNX,universe,pending,,,,,,
CNM,universe,pending,,,,,,
OKLO,universe,pending,,,,,,
MUSA,universe,pending,,,,,,
BAX,universe,pending,,,,,,
BSY,universe,pending,,,,,,
WMS,universe,pending,,,,,,
ENSG,universe,pending,,,,,,
MOH,universe,pending,,,,,,
GTLS,universe,pending,,,,,,
HL,universe,pending,,,,,,
UHAL.B,universe,pending,,,,,,
RGC,universe,pending,,,,,,
FCFS,universe,pending,,,,,,
BPOP,universe,pending,,,,,,
UMBF,universe,pending,,,,,,
OGE,universe,pending,,,,,,
AHR,universe,pending,,,,,,
GME,universe,pending,,,,,,
AGX,universe,pending,,,,,,
ESI,universe,pending,,,,,,
CYTK,universe,pending,,,,,,
BROS,universe,pending,,,,,,
CART,universe,pending,,,,,,
DCI,universe,pending,,,,,,
HLI,universe,pending,,,,,,
SCI,universe,pending,,,,,,
ALSN,universe,pending,,,,,,
OC,universe,pending,,,,,,
ALV,universe,pending,,,,,,
SNAP,universe,pending,,,,,,
CWEN,universe,pending,,,,,,
BAH,universe,pending,,,,,,
BRX,universe,pending,,,,,,
DDS,universe,pending,,,,,,
DAR,universe,pending,,,,,,
AVAV,universe,pending,,,,,,
FLS,universe,pending,,,,,,
JOBY,universe,pending,,,,,,
TTD,universe,pending,,,,,,
MASI,universe,pending,,,,,,
PSO,universe,pending,,,,,,
RIOT,universe,pending,,,,,,
FDS,universe,pending,,,,,,
SSB,universe,pending,,,,,,
ZION,universe,pending,,,,,,
MSGS,universe,pending,,,,,,
ORI,universe,pending,,,,,,
ONB,universe,pending,,,,,,
JKHY,universe,pending,,,,,,
RRC,universe,pending,,,,,,
CIFR,universe,pending,,,,,,
DOCU,universe,pending,,,,,,
LUMN,universe,pending,,,,,,
CUBE,universe,pending,,,,,,
VSAT,universe,pending,,,,,,
TKR,universe,pending,,,,,,
SNEX,universe,pending,,,,,,
AYI,universe,pending,,,,,,
ACM,universe,pending,,,,,,
FRHC,universe,pending,,,,,,
FORM,universe,pending,,,,,,
SIRI,universe,pending,,,,,,
W,universe,pending,,,,,,
YMM,universe,pending,,,,,,
CTRE,universe,pending,,,,,,
ARE,universe,pending,,,,,,
AAL,universe,pending,,,,,,
IAG,universe,pending,,,,,,
AMG,universe,pending,,,,,,
KRYS,universe,pending,,,,,,
ADC,universe,pending,,,,,,
QBTS,universe,pending,,,,,,
HSIC,universe,pending,,,,,,
CFR,universe,pending,,,,,,
UHS,universe,pending,,,,,,
SIMO,universe,pending,,,,,,
WAL,universe,pending,,,,,,
MANH,universe,pending,,,,,,
CRL,universe,pending,,,,,,
LEVI,universe,pending,,,,,,
QRVO,universe,pending,,,,,,
ALGM,universe,pending,,,,,,
NCLH,universe,pending,,,,,,
ORA,universe,pending,,,,,,
RYAN,universe,pending,,,,,,
COLB,universe,pending,,,,,,
BRKR,universe,pending,,,,,,
NNN,universe,pending,,,,,,
SARO,universe,pending,,,,,,
EQX,universe,pending,,,,,,
HALO,universe,pending,,,,,,
CHWY,universe,pending,,,,,,
FR,universe,pending,,,,,,
AGCO,universe,pending,,,,,,
STN,universe,pending,,,,,,
TAP.A,universe,pending,,,,,,
AG,universe,pending,,,,,,
TEM,universe,pending,,,,,,
TTC,universe,pending,,,,,,
CRUS,universe,pending,,,,,,
VIST,universe,pending,,,,,,
ENS,universe,pending,,,,,,
PRI,universe,pending,,,,,,
CMC,universe,pending,,,,,,
CORZ,universe,pending,,,,,,
EMN,universe,pending,,,,,,
CAE,universe,pending,,,,,,
TECH,universe,pending,,,,,,
BIO.B,universe,pending,,,,,,
OSK,universe,pending,,,,,,
ZG,universe,pending,,,,,,
ABVX,universe,pending,,,,,,
ACI,universe,pending,,,,,,
MTCH,universe,pending,,,,,,
Z,universe,pending,,,,,,
HESM,universe,pending,,,,,,
MBLY,universe,pending,,,,,,
JHG,universe,pending,,,,,,
ZWS,universe,pending,,,,,,
XP,universe,pending,,,,,,
BLDR,universe,pending,,,,,,
AOS,universe,pending,,,,,,
REXR,universe,pending,,,,,,
BIO,universe,pending,,,,,,
VOYA,universe,pending,,,,,,
BOKF,universe,pending,,,,,,
IDA,universe,pending,,,,,,
FRO,universe,pending,,,,,,
CORT,universe,pending,,,,,,
SFM,universe,pending,,,,,,
BIRK,universe,pending,,,,,,
VSH,universe,pending,,,,,,
GAP,universe,pending,,,,,,
CBSH,universe,pending,,,,,,
SM,universe,pending,,,,,,
CLF,universe,pending,,,,,,
EGO,universe,pending,,,,,,
ECG,universe,pending,,,,,,
VLY,universe,pending,,,,,,
SSD,universe,pending,,,,,,
EDU,universe,pending,,,,,,
CHRD,universe,pending,,,,,,
ESE,universe,pending,,,,,,
QGEN,universe,pending,,,,,,
CAMT,universe,pending,,,,,,
KNTK,universe,pending,,,,,,
KEX,universe,pending,,,,,,
JXN,universe,pending,,,,,,
RHP,universe,pending,,,,,,
VFS,universe,pending,,,,,,
UGI,universe,pending,,,,,,
HQY,universe,pending,,,,,,
LSTR,universe,pending,,,,,,
ENPH,universe,pending,,,,,,
OSCR,universe,pending,,,,,,
TTAN,universe,pending,,,,,,
NFG,universe,pending,,,,,,
GKOS,universe,pending,,,,,,
PCOR,universe,pending,,,,,,
TAP,universe,pending,,,,,,
PLXS,universe,pending,,,,,,
YOU,universe,pending,,,,,,
AXS,universe,pending,,,,,,
BILI,universe,pending,,,,,,
CWAN,universe,pending,,,,,,
STAG,universe,pending,,,,,,
NEU,universe,pending,,,,,,
ST,universe,pending,,,,,,
IBRX,universe,pending,,,,,,
MXL,universe,pending,,,,,,
NE,universe,pending,,,,,,
TTEK,universe,pending,,,,,,
ATR,universe,pending,,,,,,
ICL,universe,pending,,,,,,
NOV,universe,pending,,,,,,
VNO,universe,pending,,,,,,
LTH,universe,pending,,,,,,
SLAB,universe,pending,,,,,,
CELH,universe,pending,,,,,,
NUVL,universe,pending,,,,,,
ALKS,universe,pending,,,,,,
AVT,universe,pending,,,,,,
PPC,universe,pending,,,,,,
LEA,universe,pending,,,,,,
PRAX,universe,pending,,,,,,
MOS,universe,pending,,,,,,
MORN,universe,pending,,,,,,
BEPC,universe,pending,,,,,,
KNSL,universe,pending,,,,,,
MIDD,universe,pending,,,,,,
PB,universe,pending,,,,,,
WFRD,universe,pending,,,,,,
MAC,universe,pending,,,,,,
MYRG,universe,pending,,,,,,
TEX,universe,pending,,,,,,
RGEN,universe,pending,,,,,,
HR,universe,pending,,,,,,
AXTA,universe,pending,,,,,,
RGTI,universe,pending,,,,,,
PCVX,universe,pending,,,,,,
CBC,universe,pending,,,,,,
QMMM,universe,pending,,,,,,
FAF,universe,pending,,,,,,
GDS,universe,pending,,,,,,
NXE,universe,pending,,,,,,
TRNO,universe,pending,,,,,,
INGM,universe,pending,,,,,,
BBUC,universe,pending,,,,,,
POOL,universe,pending,,,,,,
THG,universe,pending,,,,,,
IDCC,universe,pending,,,,,,
RAL,universe,pending,,,,,,
HXL,universe,pending,,,,,,
KMX,universe,pending,,,,,,
MRCY,universe,pending,,,,,,
CHYM,universe,pending,,,,,,
MTDR,universe,pending,,,,,,
LNC,universe,pending,,,,,,
FLR,universe,pending,,,,,,
AWI,universe,pending,,,,,,
PRIM,universe,pending,,,,,,
NPO,universe,pending,,,,,,
LAD,universe,pending,,,,,,
TMHC,universe,pending,,,,,,
RIG,universe,pending,,,,,,
EXP,universe,pending,,,,,,
SGHC,universe,pending,,,,,,
LNTH,universe,pending,,,,,,
KGS,universe,pending,,,,,,
TXNM,universe,pending,,,,,,
EPRT,universe,pending,,,,,,
APGE,universe,pending,,,,,,
KRMN,universe,pending,,,,,,
BYD,universe,pending,,,,,,
SNDR,universe,pending,,,,,,
GTES,universe,pending,,,,,,
VFC,universe,pending,,,,,,
FSS,universe,pending,,,,,,
STWD,universe,pending,,,,,,
SEI,universe,pending,,,,,,
ESTC,universe,pending,,,,,,
FSV,universe,pending,,,,,,
DSGX,universe,pending,,,,,,
CPB,universe,pending,,,,,,
JBTM,universe,pending,,,,,,
MSM,universe,pending,,,,,,
LKQ,universe,pending,,,,,,
SWX,universe,pending,,,,,,
DBX,universe,pending,,,,,,
PAYC,universe,pending,,,,,,
PJT,universe,pending,,,,,,
SYRE,universe,pending,,,,,,
OMF,universe,pending,,,,,,
URBN,universe,pending,,,,,,
IMVT,universe,pending,,,,,,
NSA,universe,pending,,,,,,
DOX,universe,pending,,,,,,
OR,universe,pending,,,,,,
ETSY,universe,pending,,,,,,
RYN,universe,pending,,,,,,
BZ,universe,pending,,,,,,
INGR,universe,pending,,,,,,
FIGR,universe,pending,,,,,,
FNB,universe,pending,,,,,,
PSN,universe,pending,,,,,,
AN,universe,pending,,,,,,
MHK,universe,pending,,,,,,
PTGX,universe,pending,,,,,,
AVTR,universe,pending,,,,,,
ROAD,universe,pending,,,,,,
CAR,universe,pending,,,,,,
MSA,universe,pending,,,,,,
CAG,universe,pending,,,,,,
UEC,universe,pending,,,,,,
KLAR,universe,pending,,,,,,
GVA,universe,pending,,,,,,
TGTX,universe,pending,,,,,,
GBCI,universe,pending,,,,,,
WH,universe,pending,,,,,,
VAL,universe,pending,,,,,,
CNTA,universe,pending,,,,,,
KYMR,universe,pending,,,,,,
PCTY,universe,pending,,,,,,
GATX,universe,pending,,,,,,
HIMS,universe,pending,,,,,,
LEGN,universe,pending,,,,,,
CHDN,universe,pending,,,,,,
RSI,universe,pending,,,,,,
UBSI,universe,pending,,,,,,
HPP,universe,pending,,,,,,
NVTS,universe,pending,,,,,,
EAT,universe,pending,,,,,,
ACA,universe,pending,,,,,,
AROC,universe,pending,,,,,,
GTX,universe,pending,,,,,,
CENX,universe,pending,,,,,,
CZR,universe,pending,,,,,,
CROX,universe,pending,,,,,,
FLY,universe,pending,,,,,,
RYTM,universe,pending,,,,,,
LOAR,universe,pending,,,,,,
VSXY,universe,pending,,,,,,
APPF,universe,pending,,,,,,
PTCT,universe,pending,,,,,,
CHE,universe,pending,,,,,,
PACS,universe,pending,,,,,,
POR,universe,pending,,,,,,
FLG,universe,pending,,,,,,
TFPM,universe,pending,,,,,,
ACT,universe,pending,,,,,,
M,universe,pending,,,,,,
AXTI,universe,pending,,,,,,
PATH,universe,pending,,,,,,
TAL,universe,pending,,,,,,
LW,universe,pending,,,,,,
RRR,universe,pending,,,,,,
PEGA,universe,pending,,,,,,
COMP,universe,pending,,,,,,
KRG,universe,pending,,,,,,
ABCB,universe,pending,,,,,,
TFX,universe,pending,,,,,,
BLTE,universe,pending,,,,,,
MIRM,universe,pending,,,,,,
PAGP,universe,pending,,,,,,
CACC,universe,pending,,,,,,
VSNT,universe,pending,,,,,,
MATX,universe,pending,,,,,,
STEP,universe,pending,,,,,,
HWC,universe,pending,,,,,,
MCY,universe,pending,,,,,,
OTEX,universe,pending,,,,,,
GXO,universe,pending,,,,,,
CE,universe,pending,,,,,,
NJR,universe,pending,,,,,,
PECO,universe,pending,,,,,,
AMTM,universe,pending,,,,,,
BTG,universe,pending,,,,,,
NOVT,universe,pending,,,,,,
NXST,universe,pending,,,,,,
SSRM,universe,pending,,,,,,
MUR,universe,pending,,,,,,
BKH,universe,pending,,,,,,
G,universe,pending,,,,,,
BB,universe,pending,,,,,,
BLCO,universe,pending,,,,,,
LQDA,universe,pending,,,,,,
USAR,universe,pending,,,,,,
OUT,universe,pending,,,,,,
ZETA,universe,pending,,,,,,
VCTR,universe,pending,,,,,,
OBDC,universe,pending,,,,,,
S,universe,pending,,,,,,
CWST,universe,pending,,,,,,
HOMB,universe,pending,,,,,,
NICE,universe,pending,,,,,,
CPA,universe,pending,,,,,,
AUB,universe,pending,,,,,,
LB,universe,pending,,,,,,
GLBE,universe,pending,,,,,,
MTG,universe,pending,,,,,,
PSMT,universe,pending,,,,,,
ESAB,universe,pending,,,,,,
NAVN,universe,pending,,,,,,
IBP,universe,pending,,,,,,
ONDS,universe,pending,,,,,,
SRRK,universe,pending,,,,,,
SIGI,universe,pending,,,,,,
COGT,universe,pending,,,,,,
ESNT,universe,pending,,,,,,
HCC,universe,pending,,,,,,
ACMR,universe,pending,,,,,,
GOLF,universe,pending,,,,,,
GTLB,universe,pending,,,,,,
GNTX,universe,pending,,,,,,
ASB,universe,pending,,,,,,
MGY,universe,pending,,,,,,
IFS,universe,pending,,,,,,
BC,universe,pending,,,,,,
RUSHA,universe,pending,,,,,,
RUSHB,universe,pending,,,,,,
SEB,universe,pending,,,,,,
BGC,universe,pending,,,,,,
LYFT,universe,pending,,,,,,
PIPR,universe,pending,,,,,,
CRC,universe,pending,,,,,,
WFG,universe,pending,,,,,,
ADT,universe,pending,,,,,,
GLNG,universe,pending,,,,,,
WEX,universe,pending,,,,,,
BCPC,universe,pending,,,,,,
KLIC,universe,pending,,,,,,
FND,universe,pending,,,,,,
EPAM,universe,pending,,,,,,
WTM,universe,pending,,,,,,
CRSP,universe,pending,,,,,,
RITM,universe,pending,,,,,,
DLB,universe,pending,,,,,,
BOOT,universe,pending,,,,,,
BIPC,universe,pending,,,,,,
DUOL,universe,pending,,,,,,
VSEC,universe,pending,,,,,,
MC,universe,pending,,,,,,
AUGO,universe,pending,,,,,,
STVN,universe,pending,,,,,,
PBF,universe,pending,,,,,,
IRDM,universe,pending,,,,,,
XENE,universe,pending,,,,,,
CHH,universe,pending,,,,,,
AX,universe,pending,,,,,,
SPHR,universe,pending,,,,,,
IEP,universe,pending,,,,,,
ALH,universe,pending,,,,,,
CIGI,universe,pending,,,,,,
HASI,universe,pending,,,,,,
LPX,universe,pending,,,,,,
HNGE,universe,pending,,,,,,
OGS,universe,pending,,,,,,
PRM,universe,pending,,,,,,
CVLT,universe,pending,,,,,,
UNF,universe,pending,,,,,,
GHC,universe,pending,,,,,,
GBTG,universe,pending,,,,,,
SR,universe,pending,,,,,,
SAIC,universe,pending,,,,,,
HRB,universe,pending,,,,,,
MTN,universe,pending,,,,,,
MAIN,universe,pending,,,,,,
RLI,universe,pending,,,,,,
FCN,universe,pending,,,,,,
MRP,universe,pending,,,,,,
SXT,universe,pending,,,,,,
ALK,universe,pending,,,,,,
TBBB,universe,pending,,,,,,
CNX,universe,pending,,,,,,
LGND,universe,pending,,,,,,
SYNA,universe,pending,,,,,,
WSC,universe,pending,,,,,,
CGON,universe,pending,,,,,,
LAUR,universe,pending,,,,,,
REYN,universe,pending,,,,,,
LBTYB,universe,pending,,,,,,
REZI,universe,pending,,,,,,
QS,universe,pending,,,,,,
MAAS,universe,pending,,,,,,
LUNR,universe,pending,,,,,,
CNR,universe,pending,,,,,,
MARA,universe,pending,,,,,,
SON,universe,pending,,,,,,
KVYO,universe,pending,,,,,,
CAI,universe,pending,,,,,,
FBIN,universe,pending,,,,,,
SBRA,universe,pending,,,,,,
SITE,universe,pending,,,,,,
FFIN,universe,pending,,,,,,
DIOD,universe,pending,,,,,,
LBRT,universe,pending,,,,,,
AIR,universe,pending,,,,,,
OLLI,universe,pending,,,,,,
NNI,universe,pending,,,,,,
ALM,universe,pending,,,,,,
AQN,universe,pending,,,,,,
ATAT,universe,pending,,,,,,
CSTM,universe,pending,,,,,,
TFSL,universe,pending,,,,,,
MTRN,universe,pending,,,,,,
MTH,universe,pending,,,,,,
HRI,universe,pending,,,,,,
LAZ,universe,pending,,,,,,
IPGP,universe,pending,,,,,,
VVV,universe,pending,,,,,,
CUZ,universe,pending,,,,,,
IBOC,universe,pending,,,,,,
EXLS,universe,pending,,,,,,
UFPI,universe,pending,,,,,,
ACLS,universe,pending,,,,,,
KBR,universe,pending,,,,,,
RDN,universe,pending,,,,,,
PLUG,universe,pending,,,,,,
TNL,universe,pending,,,,,,
CNO,universe,pending,,,,,,
BLLN,universe,pending,,,,,,
FTDR,universe,pending,,,,,,
HLNE,universe,pending,,,,,,
MDU,universe,pending,,,,,,
TDS,universe,pending,,,,,,
MEOH,universe,pending,,,,,,
XMTR,universe,pending,,,,,,
SHC,universe,pending,,,,,,
DOO,universe,pending,,,,,,
INDV,universe,pending,,,,,,
LBRDA,universe,pending,,,,,,
TCBI,universe,pending,,,,,,
RXO,universe,pending,,,,,,
MNDY,universe,pending,,,,,,
DNTH,universe,pending,,,,,,
EPR,universe,pending,,,,,,
AMRX,universe,pending,,,,,,
PTEN,universe,pending,,,,,,
AD,universe,pending,,,,,,
FELE,universe,pending,,,,,,
ACIW,universe,pending,,,,,,
KRC,universe,pending,,,,,,
CSW,universe,pending,,,,,,
NWE,universe,pending,,,,,,
ANDG,universe,pending,,,,,,
FHI,universe,pending,,,,,,
TWST,universe,pending,,,,,,
CVSA,universe,pending,,,,,,
CELC,universe,pending,,,,,,
POWI,universe,pending,,,,,,
CMBT,universe,pending,,,,,,
RDNT,universe,pending,,,,,,
SFBS,universe,pending,,,,,,
EBC,universe,pending,,,,,,
OPEN,universe,pending,,,,,,
SKT,universe,pending,,,,,,
TVTX,universe,pending,,,,,,
LRN,universe,pending,,,,,,
BTDR,universe,pending,,,,,,
COCO,universe,pending,,,,,,
ACHR,universe,pending,,,,,,
CVCO,universe,pending,,,,,,
SLM,universe,pending,,,,,,
FLNC,universe,pending,,,,,,
PFSI,universe,pending,,,,,,
COLD,universe,pending,,,,,,
KNF,universe,pending,,,,,,
ENVA,universe,pending,,,,,,
FULT,universe,pending,,,,,,
UWMC,universe,pending,,,,,,
MMYT,universe,pending,,,,,,
MIR,universe,pending,,,,,,
BRC,universe,pending,,,,,,
CBT,universe,pending,,,,,,
BCO,universe,pending,,,,,,
MKTX,universe,pending,,,,,,
CAAP,universe,pending,,,,,,
BDC,universe,pending,,,,,,
AZZ,universe,pending,,,,,,
TREX,universe,pending,,,,,,
BNL,universe,pending,,,,,,
SRAD,universe,pending,,,,,,
SKY,universe,pending,,,,,,
POST,universe,pending,,,,,,
BETA,universe,pending,,,,,,
MAT,universe,pending,,,,,,
BLSH,universe,pending,,,,,,
LOPE,universe,pending,,,,,,
USAC,universe,pending,,,,,,
PLNT,universe,pending,,,,,,
OLED,universe,pending,,,,,,
IRT,universe,pending,,,,,,
INSW,universe,pending,,,,,,
CLSK,universe,pending,,,,,,
UCB,universe,pending,,,,,,
LBTYA,universe,pending,,,,,,
LIVN,universe,pending,,,,,,
MRX,universe,pending,,,,,,
VNT,universe,pending,,,,,,
MWA,universe,pending,,,,,,
LMND,universe,pending,,,,,,
RELY,universe,pending,,,,,,
THO,universe,pending,,,,,,
TXG,universe,pending,,,,,,
EMAT,universe,pending,,,,,,
WHD,universe,pending,,,,,,
ZGN,universe,pending,,,,,,
GFF,universe,pending,,,,,,
KEN,universe,pending,,,,,,
HGV,universe,pending,,,,,,
CATY,universe,pending,,,,,,
SEZL,universe,pending,,,,,,
LION,universe,pending,,,,,,
NTSK,universe,pending,,,,,,
VCYT,universe,pending,,,,,,
HHH,universe,pending,,,,,,
PTRN,universe,pending,,,,,,
WING,universe,pending,,,,,,
KTB,universe,pending,,,,,,
SLGN,universe,pending,,,,,,
QLYS,universe,pending,,,,,,
OPLN,universe,pending,,,,,,
MMSI,universe,pending,,,,,,
SEDG,universe,pending,,,,,,
VRNS,universe,pending,,,,,,
INDB,universe,pending,,,,,,
WAY,universe,pending,,,,,,
LBTYK,universe,pending,,,,,,
EWTX,universe,pending,,,,,,
DAN,universe,pending,,,,,,
CPRX,universe,pending,,,,,,
CRK,universe,pending,,,,,,
WPP,universe,pending,,,,,,
CRGY,universe,pending,,,,,,
CNS,universe,pending,,,,,,
DORM,universe,pending,,,,,,
STNG,universe,pending,,,,,,
FOUR,universe,pending,,,,,,
CDP,universe,pending,,,,,,
RNST,universe,pending,,,,,,
DOCS,universe,pending,,,,,,
FBP,universe,pending,,,,,,
NVST,universe,pending,,,,,,
PII,universe,pending,,,,,,
UUUU,universe,pending,,,,,,
KFY,universe,pending,,,,,,
ATMU,universe,done,CYCLICAL,130,455,0.29,2026-06-09,memory at cycle PEAK (op margin 67.6% TTM unsustainable; fwd PE 8.78=peak earnings); value mid-cycle 10% growth/22% margin = $103-130; agree MS None moat (model Narrow); both read OVERVALUED at $960; gap=HBM structural uplift skepticism
HP,universe,pending,,,,,,
ORLA,universe,pending,,,,,,
PONY,universe,pending,,,,,,
WSFS,universe,pending,,,,,,
BELFB,universe,pending,,,,,,
KNSA,universe,pending,,,,,,
JOE,universe,pending,,,,,,
TPC,universe,pending,,,,,,
ERAS,universe,pending,,,,,,
MIAX,universe,pending,,,,,,
LASR,universe,pending,,,,,,
BANF,universe,pending,,,,,,
OII,universe,pending,,,,,,
GPI,universe,pending,,,,,,
BOX,universe,pending,,,,,,
BMI,universe,pending,,,,,,
APLE,universe,pending,,,,,,
ACAD,universe,pending,,,,,,
FRMI,universe,pending,,,,,,
NAMS,universe,pending,,,,,,
FG,universe,pending,,,,,,
PI,universe,pending,,,,,,
SLG,universe,pending,,,,,,
BFH,universe,pending,,,,,,
UCTT,universe,pending,,,,,,
LIF,universe,pending,,,,,,
RDW,universe,pending,,,,,,
EE,universe,pending,,,,,,
EXTR,universe,pending,,,,,,
CNK,universe,pending,,,,,,
OTTR,universe,pending,,,,,,
NMRK,universe,pending,,,,,,
HAFN,universe,pending,,,,,,
SMR,universe,pending,,,,,,
ORKA,universe,pending,,,,,,
CVBF,universe,pending,,,,,,
GEF,universe,pending,,,,,,
TDW,universe,pending,,,,,,
BHF,universe,pending,,,,,,
YETI,universe,pending,,,,,,
HGTY,universe,pending,,,,,,
PVH,universe,pending,,,,,,
CALM,universe,pending,,,,,,
BILL,universe,pending,,,,,,
VECO,universe,pending,,,,,,
ABG,universe,pending,,,,,,
IRTC,universe,pending,,,,,,
ITRI,universe,pending,,,,,,
RNG,universe,pending,,,,,,
MHO,universe,pending,,,,,,
TCGL,universe,pending,,,,,,
NP,universe,pending,,,,,,
SXI,universe,pending,,,,,,
BBWI,universe,pending,,,,,,
OGN,universe,pending,,,,,,
AVA,universe,pending,,,,,,
